gender,age,department,total_usetime,social_usetime,communication_usetime,entertainment_usetime,news_usetime,system_usetime,notification_usetime,view_order_top,view_order_middle,view_order_bottom,scenario,tol_111111,tol_1122,tol_123,tol_222,tol_24,tol_15
男,19～22歲,cs,五小時以上,一至二小時,一至二小時,半小時以下,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,sceynw,sceynw,scenwy,cseynw,csenwy,scenwy
男,19～22歲,cs,五小時以上,三小時以上,半至一小時,半小時以下,半小時以下,半小時以下,半小時以下,最先看,中,最後看,working,ncsewy,nceswy,ncsewy,cneswy,cneswy,nceswy
女,19～22歲,ed,三至四小時,一至二小時,一至二小時,半小時以下,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,nwycse,nwcyes,nwyces,nwcyes,nwcesy,nceswy
女,19～22歲,lb,二至三小時,半至一小時,半小時以下,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,ncswey,ncswey,ncsewy,cnswey,cneswy,nceswy
女,19～22歲,ee,一至兩小時,一至二小時,半至一小時,半小時以下,半至一小時,半小時以下,半小時以下,最先看,中,最後看,commuting,csweyn,csewny,csweny,csewny,csenwy,censwy
女,19～22歲,mg,三至四小時,半至一小時,一至二小時,半至一小時,半至一小時,半小時以下,半小時以下,最先看,中,最後看,resting,cnswey,cnswey,cnsewy,cnswey,cneswy,censwy
女,29歲以上,mg,一至二小時,半小時以下,半小時以下,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,working,ncswye,ncswey,ncsewy,cnswey,cneswy,nceswy
女,19～22歲,cs,三至四小時,半至一小時,半至一小時,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,cesnwy,censwy,cesnwy,censwy,censwy,censwy
男,19～22歲,cs,三至四小時,半小時以下,一至二小時,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,ncswey,ncswey,ncsewy,cnswey,cneswy,nceswy
女,29歲以上,lb,二至三小時,一至二小時,半至一小時,半小時以下,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,scnwye,scnwey,scnewy,csnwey,csenwy,scenwy
女,19～22歲,bi,五小時以上,二至三小時,一至二小時,二至三小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,resting,csewny,csewny,cesnwy,csewny,csenwy,censwy
女,19～22歲,bi,三至四小時,半至一小時,一至二小時,半小時以下,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,cnswey,cnswey,cnsewy,cnswey,cneswy,censwy
男,19～22歲,cs,二至三小時,一至二小時,一至二小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,最後看,中,resting,csewny,csewny,cesnwy,csewny,csenwy,censwy
男,19～22歲,ee,五小時以上,一至二小時,一至二小時,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,working,ncsewy,nceswy,ncsewy,cneswy,cneswy,nceswy
男,19～22歲,cs,二至三小時,一至二小時,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,resting,csewny,csewny,cesnwy,csewny,csenwy,censwy
女,22～28歲,mg,三至四小時,一至二小時,半至一小時,半小時以下,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,cnwsey,cnswey,cnwesy,cnswey,cneswy,censwy
女,16～18歲,sc,一至二小時,半至一小時,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,scewyn,scewny,scenwy,csewny,csenwy,scenwy
女,19～22歲,mg,二至三小時,半至一小時,半小時以下,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,scweny,scewny,scweny,csewny,csenwy,scenwy
女,22～28歲,cs,二至三小時,半小時以下,半至一小時,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,nscwye,nscwey,ncsewy,nscwey,nscewy,nceswy
女,19～22歲,cs,二至三小時,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,半小時以下,最先看,中,最後看,resting,ecswny,ecswny,ecsnwy,ceswny,censwy,ecnswy
男,19～22歲,oe,五小時以上,一至二小時,半至一小時,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,resting,escwny,escwny,ecsnwy,escwny,escnwy,ecnswy
男,22～28歲,ot,五小時以上,半至一小時,半小時以下,一至二小時,半小時以下,半小時以下,半至一小時,最先看,中,最後看,working,csweny,csewny,csweny,csewny,csenwy,censwy
女,29歲以上,cs,二至三小時,半至一小時,半小時以下,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,resting,scnwye,scnwey,scnewy,csnwey,csenwy,scenwy
男,19～22歲,cs,五小時以上,一至二小時,一至二小時,半小時以下,半小時以下,半小時以下,半小時以下,最先看,中,最後看,resting,scenyw,scenwy,scenwy,csenwy,csenwy,scenwy
女,19～22歲,ed,三至四小時,半至一小時,半小時以下,二至三小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,cnseyw,cneswy,cnsewy,cneswy,cneswy,censwy
女,29歲以上,lb,二至三小時,半小時以下,一至二小時,半小時以下,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,ncwsye,ncswey,ncwesy,cnswey,cneswy,nceswy
男,19～22歲,sc,五小時以上,,,,,,,最先看,中,最後看,wakingup,ncsewy,nceswy,ncsewy,cneswy,cneswy,nceswy
女,19～22歲,cs,一至二小時,半至一小時,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,中,最先看,最後看,resting,csenwy,csenwy,cesnwy,csenwy,csenwy,censwy
女,19～22歲,mg,三至四小時,一至二小時,一至二小時,半至一小時,半小時以下,半小時以下,半小時以下,中,最先看,最後看,working,csenwy,csenwy,cesnwy,csenwy,csenwy,censwy
男,19～22歲,mg,三至四小時,一至二小時,半至一小時,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,resting,scnywe,scnyew,scnewy,csnyew,csenwy,scenwy
女,19～22歲,bi,三至四小時,一至二小時,一至二小時,半小時以下,半小時以下,半小時以下,半小時以下,最後看,中,最先看,commuting,csewny,csewny,cesnwy,csewny,csenwy,censwy
女,29歲以上,mg,二至三小時,半小時以下,半小時以下,半小時以下,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,nwcsey,nwcsey,ncwesy,nwcsey,nwcesy,nceswy
男,19～22歲,oe,二至三小時,半小時以下,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,ncwsey,ncswey,ncwesy,cnswey,cneswy,nceswy
女,19～22歲,bi,三至四小時,一至二小時,半至一小時,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,nwscey,nwcsey,nswcey,nwcsey,nwcesy,nceswy
男,19～22歲,lb,三至四小時,一至二小時,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,resting,scenwy,scenwy,scenwy,csenwy,csenwy,scenwy
男,19～22歲,cs,三至四小時,一至二小時,半至一小時,一至二小時,半至一小時,半小時以下,半至一小時,最先看,中,最後看,resting,swecny,swceny,sewcny,swceny,swceny,scenwy
女,29歲以上,mg,二至三小時,半至一小時,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,csnewy,csenwy,cnsewy,csenwy,csenwy,censwy
男,19～22歲,oe,二至三小時,一至二小時,半至一小時,半小時以下,半小時以下,半小時以下,半小時以下,最先看,中,最後看,resting,cnwyse,cnwyes,cnwesy,cnwyes,cneswy,censwy
女,19～22歲,cs,五小時以上,二至三小時,半小時以下,三小時以上,半小時以下,半小時以下,半小時以下,最先看,中,最後看,resting,nscewy,nscewy,ncsewy,nscewy,nscewy,nceswy
女,19～22歲,bi,五小時以上,三小時以上,三小時以上,一至二小時,一至二小時,半小時以下,半小時以下,最先看,最後看,中,commuting,ncsewy,nceswy,ncsewy,cneswy,cneswy,nceswy
男,16～18歲,ee,二至三小時,半至一小時,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,resting,nycwse,nycwes,ncyesw,nycwes,nycesw,nceswy
男,19～22歲,cs,三至四小時,半至一小時,半小時以下,一至二小時,半至一小時,半小時以下,半小時以下,最先看,中,最後看,resting,cwseny,cwesny,csweny,cwesny,cwensy,censwy
女,19～22歲,ed,五小時以上,三小時以上,三小時以上,三小時以上,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,cseynw,cseynw,cesnwy,cseynw,csenwy,censwy
男,19～22歲,oe,二至三小時,半至一小時,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,ncsewy,nceswy,ncsewy,cneswy,cneswy,nceswy
